Source	Character	Field	OldValue	NewValue
h	剤	primitives	斉刀	斉刂
h	則	primitives	貝刀	貝刂
h	削	primitives	肖刀	肖刂
h	剛	primitives	岡刀	岡刂
h	剰	primitives	乗刀	乗刂
h	刷	primitives	尸巾刀	尸巾刂
h	刈	primitives	乂刀	乂刂
h	刊	primitives	干刀	干刂
h	剖	primitives	咅刀	咅刂
h	刹	primitives	乂木刀	乂木刂
h	剃	primitives	弟刀	弟刂
h	剪	primitives	前刀	前刂
h	剽	primitives	票刀	票刂
h	刖	primitives	月刀	月刂

######## 虎 -> 虍 #######
h	獻	primitives	虎鬲犬	虍鬲犬
h	驢	primitives	馬虎田皿	馬虍田皿
h	慮	primitives	虎思	虍思
h	虐	primitives	虎匚一	虍匚一
h	膚	primitives	虎胃	虍胃
h	虜	primitives	虎男	虍男
h	虔	primitives	虎文	虍文
h	盧	primitives	虎田皿	虍田皿
h	虞	primitives	虎呉	虍呉
h	彪	primitives	虎彡	虍彡
h	虛	primitives	虎	虍
h	譃	primitives	言虎	言虍

######## 彦 -> 彥 #######
h	諺	primitives	言彦	言彥

######## 竹 -> ⺮ #######

######## 亀 -> [eel] #######
h	電	primitives	雨亀	雨[eel]
h	竜	primitives	立亀	立[eel]

######## 亀 -> [bucket_of_eels] #######
h	縄	primitives	糸亀	糸[bucket_of_eels]
h	蝿	primitives	虫亀	虫[bucket_of_eels]
h	竃	primitives	穴土日亀	穴土[bucket_of_eels]

######## 亀 -> 电 #######
h	奄	primitives	大亀	大电


######## 鹿 -> [deer-abbreviated] #######
h	薦	primitives	艹鹿一[tail_feathers]	艹[deer-abbreviated]一[tail_feathers]



######## 爪 -> 爫 #######

######## 乙 -> 乚 #######

######## 乙 -> L #######

######## 曽 -> 曾 #######

######## 喩 -> 喻 #######

######## 阜 -> ⻖ #######
h	隕	primitives	阜員	⻖員

######## 邑 -> ⻏ #######

######## 艮 -> [silver-left] #######

######## 丬 -> 爿 #######
h	寢	primitives	宀丬[french_maid]	宀爿[french_maid]
h	牃	primitives	丬枼	爿枼

######## 勹 -> ⺈ #######

######## 厂 -> 丆 #######

######## 𧘇 -> [scarf-unhooked] #######

######## マ -> ㄗ #######

######## 网 -> 罒 #######


######## 开 -> 廾 #######
h	弁	primitives	厶开	厶廾
h	鼻	primitives	自田开	自田廾
h	算	primitives	竹目开	竹目廾
h	葬	primitives	艹死开	艹死廾
h	戒	primitives	戈开	戈廾
h	弄	primitives	王开	王廾
h	弊	primitives	敝开	敝廾


######## 冫 -> ⺀  #######
h	尽	primitives	尺冫	尺⺀
h	寒	primitives	宀[celery]ハ冫	宀[celery]ハ⺀
h	冬	primitives	夂冫	夂⺀


######## 罒 -> 网 #######

######## ⺁ -> [drag-bottom] #######
h	衆	primitives	血⺁[rags]	血[drag-bottom][rags]
h	乑	primitives	⺁[rags]	[drag-bottom][rags]


######## ⻏ -> 邑 #######

######## 賣 -> 𧶠 #######

h	惚	primitives	心勿心	忄勿心
h	脛	primitives	肉一川工	肉一巛工
h	湖	primitives	水古肉	氵古肉
h	獄	primitives	犬言犬	犭言犬
h	巡	primitives	川辶	巛辶
h	型	primitives	开刀土	开刂土
h	劉	primitives	[receipt]刀金刀	[receipt]刀金刂

######## Many changed primitives #######
h	渕	primitives	水关刀	氵关刂
h	刑	primitives	开刀	廾刂
h	劇	primitives	虎豕刀	虍豕刂

h	剝	primitives	彑水刀	彑氺刂
h	剥	primitives	ヨ米刀	ヨ氺刂
h	禄	primitives	示ヨ米	礻ヨ氺
h	黍	primitives	禾人米	禾𠆢氺

h	僕	primitives	人並夫	亻[in_a_row_upside_down]夫

h	虚	primitives	虎並	虍业

h	湿	primitives	水日並	氵日业


cs	薦	primitives	艹鹿[slingshot]火	艹[deer-abbreviated][slingshot]灬
h	滌	primitives	水人丨攵木	氵亻丨攵木
h	俺	primitives	人大亀	亻大电
cs	俺	primitives	人奄	亻奄

h	漆	primitives	水木𠆢米	氵木𠆢氺
