Source	Character	Field	OldValue	NewValue
h	鏨	primitives		斬金
h	晄	primitives		日光
h	邃	primitives		穴遂
h	岱	primitives		代山
h	笄	primitives		竹开
h	陂	primitives		阜皮
h	齡	primitives		齒令
h	岷	primitives		山民
h	寨	primitives		宀井一八木
h	莚	primitives		艹延
h	雎	primitives		且隹
h	絖	primitives		糸光
h	栴	primitives		木丹
h	乘	primitives		禾北
h	甌	primitives		區瓦
h	忿	primitives		分心
h	謫	primitives		言啇
h	穹	primitives		穴弓
h	汪	primitives		氵王
h	兌	primitives		八兄
h	鰤	primitives		魚師
h	扣	primitives		扌口
h	奚	primitives		爪幺大
h	肓	primitives		亡月
h	鏃	primitives		金族
h	闥	primitives		門達
h	殤	primitives		歹昜
h	籬	primitives		竹離
h	掣	primitives		制手
h	倨	primitives		亻居
h	熨	primitives		尉心
h	匪	primitives		匚非
h	諚	primitives		言定
h	綽	primitives		糸卓
h	胖	primitives		月半
h	胄	primitives		由月
h	犂	primitives		禾勹丿牛
h	旻	primitives		日文
h	仞	primitives		亻刃
h	楮	primitives		木者
h	听	primitives		口斤
h	疳	primitives		疒甘
h	涵	primitives		氵函
h	鷙	primitives		執鳥
h	鶚	primitives		咢鳥
h	逑	primitives		辶求
h	桎	primitives		木至
h	瑁	primitives		王冒
h	嫖	primitives		女票
h	呰	primitives		此口
h	褝	primitives		衤単
h	蓿	primitives		艹宿
h	髢	primitives		髟也
h	嘛	primitives		口麻
h	彖	primitives		彑
h	髴	primitives		髟弗
h	卻	primitives		谷卩
h	妣	primitives		女比
h	蹕	primitives		足畢
h	饂	primitives		食囚皿
h	皈	primitives		白反
h	羣	primitives		君羊
h	穽	primitives		穴井
h	阯	primitives		阜止
h	佚	primitives		亻失
h	鶲	primitives		翁鳥
h	縲	primitives		糸累
h	聒	primitives		耳舌
h	貭	primitives		⺁十貝
h	們	primitives		亻門
h	圍	primitives		囗韋
h	袙	primitives		衤白
h	冰	primitives		冫水
h	荅	primitives		艹合
h	捶	primitives		扌垂
h	榑	primitives		木尃
h	樞	primitives		木區
h	垪	primitives		土并
h	冉	primitives		冂丨一
h	酳	primitives		酉幺月
h	黐	primitives		黍离
h	篳	primitives		竹畢
h	竡	primitives		立百
h	靠	primitives		告非
h	慓	primitives		忄票
h	桍	primitives		木夸
h	峺	primitives		山更
h	肭	primitives		月內
h	鯏	primitives		魚利
h	娵	primitives		女取
h	忰	primitives		忄卆
h	埀	primitives		丿一北丨二
h	輹	primitives		車复
h	檍	primitives		木意
h	蜚	primitives		非虫
h	釶	primitives		金也
h	鷭	primitives		番鳥
h	惺	primitives		忄星
h	槊	primitives		朔木
h	踴	primitives		足勇
h	乕	primitives		⺁二巾
h	杣	primitives		木山
h	廝	primitives		广斯
h	繻	primitives		糸需
h	佶	primitives		亻吉
h	仆	primitives		亻卜
h	效	primitives		交攵
h	襞	primitives		辟衣
h	恆	primitives		忄亙
h	个	primitives		人丨
h	鍠	primitives		金皇
h	爲	primitives		爪火
h	訐	primitives		言干
h	艾	primitives		艹乂
h	册	primitives		冂一
h	覘	primitives		占見
h	襃	primitives		衣呆
h	夘	primitives		夕卩
h	訖	primitives		言乞
h	餽	primitives		食鬼
h	舮	primitives		舟戸
h	懦	primitives		忄需
h	夛	primitives		ヨ夕
h	艨	primitives		舟蒙
h	愬	primitives		朔心
