Source	Character	Field	OldValue	NewValue
rrtk	永	keywords		eternity
rrtk	永	story		It would take an<strong> eternity</strong> to count all the <i>drops</i> (丶) of <i>water</i> (水). This is NOT <i>icicle</i> (氷).
rrtk	泉	keywords		spring
rrtk	泉	story		A<strong> spring</strong> has <em>white</em> (白) frothy <em>water </em>(水).
rrtk	原	keywords		meadow
rrtk	原	story		Follow the <em>springs</em> (泉) down the <em>cliff</em> (厂) and you will find a nice<strong> meadow</strong>.<br><br>meadow: a piece of low ground grassland near a river. (prado/pradera)
rrtk	願	keywords		petition
rrtk	願	story		Japanese hippies<strong> petition</strong> to save a <em>meadow</em> (原) by getting people on the street to sign their <em>page</em> (頁) - as you pass by they call out: “お願いします、おねがいします。”
rrtk	泳	keywords		swim
rrtk	泳	story		There's enough <em>water</em> (氵) in the world to<strong> swim</strong> for an <em>eternity</em> (永).
rrtk	沼	keywords		marsh
rrtk	沼	story		A <b>marsh</b> near Mordor <i>calls for/summons</i> (召) Frodo into gazing upon it, and he falls into the <i>water </i>(氵) –splash!<br><br>marsh: a wetland that is dominated by herbaceous rather than woody plant species. (pantano / ciénaga)
rrtk	沖	keywords		open sea
rrtk	沖	story		<strong>Open sea</strong> is a lot of <i>water</i> (氵) in the <i>middle</i> (中) of nowhere.
rrtk	江	keywords		creek
rrtk	江	story		A<strong> creek</strong> is a small trail of <em>water</em> (氵) easily <em>craft</em>ed (工) with a stick.<br><br>creek: a stream, brook, or minor tributary of a river. (arroyo/riachuelo)
rrtk	汁	keywords		soup,juice
rrtk	汁	story		Some <i>water</i> (氵) and <i>ten</i> (十) good ingredients are usually enough to make either <b>soup</b> or <b>juice</b>, but hopefully the <i>ten</i> (十) ingredients are different in each scenario.
rrtk	潮	keywords		tide
rrtk	潮	story		The morning<strong> tide</strong> is basically, well, <i>water</i> (氵) in the <i>morning</i> (朝).
rrtk	源	keywords		source
rrtk	源	story		The<strong> source</strong> of clean <em>water</em> (氵) is from the <i>meadow</i> (原). It comes from that <em>spring</em> (泉) at the bottom of the <em>cliff </em>(厂).
rrtk	活	keywords		lively
rrtk	活	story		<i>Water</i> (氵) comes off the<strong> lively</strong> speaker's <i>tongue</i> (舌).
rrtk	消	keywords		extinguish
rrtk	消	story		If that liquid has any <i>resemblance</i> (肖) to <i>water</i> (氵), it will <b>extinguish</b> the flame of my candle.
rrtk	況	keywords		but of course
rrtk	況	story		If you ask your <i>elder brother</i> (兄) if what he's drinking is <i>water</i> (氵), and not Vodka, he will answer "<b>but of course</b>".<br>
rrtk	河	keywords		river
rrtk	河	story		The lesson of persistence: even drops of <em>water</em> (氵)<em> can</em> (可) become a<strong> river</strong>.
rrtk	泊	keywords		overnight
rrtk	泊	story		Please supply a guest who stays<strong> overnight</strong> with <i>water</i> (氵) and <i>white</i> (白) sheets.
rrtk	湖	keywords		lake
rrtk	湖	story		Drinking <em>water</em> (氵) straight from the <strong>lake</strong> is rather <i>uncivilized</i> (胡).
rrtk	測	keywords		fathom
rrtk	測	story		A <b>fathom</b> is the unit of <b>measurement</b> you use when making <i>rules</i> (則) about the <i>water's</i> (氵) depth.
rrtk	土	keywords		soil
rrtk	土	story		The grave was marked by a cross sticking out of the<strong> soil</strong>.
rrtk	吐	keywords		spit
rrtk	吐	story		<b>Spit</b> goes from my <i>mouth</i> (口) to the <i>soil</i> (土).
rrtk	圧	keywords		pressure
rrtk	圧	story		The taller the <em>cliff </em>(厂) the more<strong> pressure</strong> on the <em>soil</em> (土) below it.
rrtk	埼	keywords		cape
rrtk	埼	story		What the hell does the NASA do at<strong> Cape</strong> Canaveral? The <em>soil</em> (土) there looks kinda <em>strange</em> (奇).
rrtk	垣	keywords		hedge
rrtk	垣	story		Before the Great Wall of China, there was a <i>dirt</i> (土) <strong>hedge</strong> that <i>spanned</i> (亘) across.
rrtk	圭	keywords		squared jewel
rrtk	圭	story		Buried deep on <i>soil</i> (土) upon <i>soil</i> (土) for aeons is how we found the<strong> </strong><b>squared jewel</b>.
rrtk	封	keywords		seal
rrtk	封	story		The king used a special<strong> seal</strong> of <i>ivy</i> (圭) leaves <i>glued</i> (寸) onto his document.
rrtk	涯	keywords		horizon
rrtk	涯	story		After seeing a constant <b>horizon</b> of <i>water </i>(氵), <i>water</i> (氵) everywhere for months at sea, could there be anything more delightful to the eyes than to look astern and see the <i>ivy</i>(圭)-clad <i>cliffs</i> (厂) of land on a new <b>horizon</b>? Of course, you'd need the eyes of a stellar telescope to recognize that the vegetation was in fact <i>ivy</i>, but the phrase "<i>ivy</i>(圭)-clad <i>cliffs </i>(厂)" has such a nice ring to it that we won't worry about such details.
rrtk	寺	keywords		Buddhist temple
rrtk	寺	story		To be allowed to join the<strong> Buddhist temple</strong>, imagine an aspiring monk being asked to stand still in the <em>soil</em> (土) for a long time in a <em>measurement</em> (寸) of his resolve.
rrtk	時	keywords		time
rrtk	時	story		When the <i>sun</i> (日) starts to shine on the <i>Buddhist temple</i> (寺), it's<strong> time</strong> to get up.
rrtk	均	keywords		level
rrtk	均	story		To make the <i>soil</i> (土) <i>uniform </i>(匀) throughout the whole surface, you <b>level</b> it.
rrtk	火	keywords		fire
rrtk	火	story		Pictograph of <b>fire</b>.
rrtk	炎	keywords		inflammation
rrtk	炎	story		When you suffer from<strong> inflammation</strong>, i.e. an infection, your body will fight it with a high fever. So it fights <em>fire</em> (火) with <em>fire </em>(火).
rrtk	煩	keywords		annoying
rrtk	煩	story		So <b>annoying</b>, they make you feel <i>fire</i> (火) in the <i>head </i>(頁).
rrtk	淡	keywords		thin
rrtk	淡	story		Drink <em>water</em> (氵) and <em>burn twice</em> (炎) as many calories as you eat... you'll definitely get<strong> thin</strong>.<br>
rrtk	灯	keywords		lamp
rrtk	灯	story		You need <i>fire</i> (火) to light up the <b>lamp</b>s on old town <i>street</i>s (丁).
rrtk	畑	keywords		farm
rrtk	畑	story		Many<strong> farm</strong>s are created by first setting <i>fire</i> (火) over the land to clear the land for the <i>rice fields</i> (田).
rrtk	災	keywords		disaster
rrtk	災	story		What a<strong> disaster</strong>! First a <i>fire</i> (火), then on top of it came <i>floods</i> (巛).
rrtk	灰	keywords		ashes
rrtk	灰	story		After the cremation <em>fire</em> (火), many prefer to scatter their loved-one's<strong> ashes</strong> from seaside <em>cliffs</em> (丆).
rrtk	点	keywords		spot
rrtk	点	story		The <i>fortune-teller</i> (占) was burned by <i>flames</i> (灬) on the<strong> spot</strong> because she was accused of being a witch.
rrtk	照	keywords		illuminate
rrtk	照	story		<i>Shining</i> (昭) <i>flames</i> (灬) <strong>illuminate</strong>!
rrtk	魚	keywords		fish
rrtk	魚	story		That<strong> fish</strong> was caught, <i>bound up</i> (⺈), then carried across <i>rice fields</i> (田), and finally cooked over a <i>fire</i> (灬).
rrtk	漁	keywords		fishing
rrtk	漁	story		<b>Fishing</b> is taking the <i>fish</i> (魚) out of the <i>water</i> (氵)
rrtk	里	keywords		parent's home
rrtk	里	story		The<i> soil</i> (土) beneath that <i>rice field</i> (田) also belongs to my <b>parent's home</b>. Their full property lot is about one square <b>ri</b> (3.927km or 2.44 miles​).
rrtk	黒	keywords		black
rrtk	黒	story		If your <em>parent's home</em> (里) catches on <em>fire</em> (灬), it will turn<strong> black</strong>.
rrtk	墨	keywords		black ink
rrtk	墨	story		Pouring this <b>black ink</b> turned the <i>soil</i> (土) <i>black</i> (黒).
rrtk	鯉	keywords		carp
rrtk	鯉	story		The pond full of <i>fish</i> (魚) right next to my <i>parent's home</i> (里) is full of こい <b>carp</b>.
rrtk	量	keywords		quantity
rrtk	量	story		The <i>sunrise</i> (旦) over my <i>parent's home</i> (里) showed us the massive <b>quantity</b> of food left after last night's feast.
